wavelength(nm)	reflectance_factor	intensity_stdev
450.000000	1.00825	0.036106
500.000000	0.98803	0.016380
550.000000	0.98418	0.006799
600.000000	0.98399	0.002157
650.000000	0.97318	0.002398
700.000000	0.96320	0.000448
750.000000	0.95924	0.000485
800.000000	0.94658	0.000276
850.000000	0.94345	0.000372
900.000000	0.92112	0.000304
950.000000	0.91461	0.000093
1000.000000	0.86335	0.009801
1000.000000	0.86335	0.009801
1010.000000	0.85144	0.004102
1020.000000	0.83256	0.003775
1030.000000	0.81864	0.003107
1040.000000	0.81428	0.005848
1050.000000	0.80613	0.005280
1060.000000	0.80970	0.007160
1070.000000	0.83717	0.005622
1080.000000	0.84588	0.003466
1090.000000	0.84414	0.005834
1100.000000	0.85417	0.013531
1110.000000	0.84814	0.005748
1120.000000	0.84423	0.006290
1130.000000	0.83058	0.006872
1140.000000	0.83445	0.006632
1150.000000	0.82658	0.003410
1160.000000	0.81819	0.004079
1170.000000	0.79505	0.003478
1180.000000	0.77614	0.003594
1190.000000	0.74874	0.004857
1200.000000	0.71994	0.004286
1210.000000	0.69533	0.002585
1220.000000	0.68399	0.003391
1230.000000	0.65923	0.004082
1240.000000	0.64156	0.002913
1250.000000	0.62231	0.003253
1260.000000	0.60467	0.005093
1270.000000	0.59655	0.004166
1280.000000	0.59966	0.003264
1290.000000	0.60622	0.004344
1300.000000	0.58514	0.004212
1310.000000	0.58820	0.002651
1320.000000	0.62125	0.001736
1330.000000	0.63719	0.002450
1340.000000	0.65207	0.003520
1350.000000	0.66181	0.003741
1360.000000	0.66453	0.003854
1370.000000	0.66123	0.002004
1380.000000	0.65843	0.003105
1390.000000	0.63747	0.003174
1400.000000	0.62656	0.002167
1410.000000	0.61314	0.001393
1420.000000	0.57407	0.001516
1430.000000	0.52978	0.000878
1440.000000	0.46346	0.001305
1450.000000	0.38105	0.003159
1460.000000	0.29578	0.000976
1470.000000	0.22459	0.001490
1480.000000	0.15988	0.002118
1490.000000	0.11641	0.001275
1500.000000	0.10041	0.001431
1510.000000	0.09080	0.001414
1520.000000	0.09534	0.000840
1530.000000	0.09914	0.000372
1540.000000	0.09836	0.000759
1550.000000	0.10307	0.002333
1560.000000	0.10030	0.000469
1570.000000	0.10407	0.000464
1580.000000	0.11551	0.000485
1590.000000	0.13911	0.001178
1600.000000	0.16117	0.001446
1610.000000	0.18252	0.000889
1620.000000	0.19068	0.001547
1630.000000	0.18735	0.000749
1640.000000	0.16479	0.000630
1650.000000	0.14341	0.002376
1660.000000	0.13938	0.001873
1670.000000	0.18740	0.001377
1680.000000	0.23743	0.001133
1690.000000	0.28101	0.002923
1700.000000	0.31622	0.000557
1710.000000	0.34846	0.001234
1720.000000	0.37075	0.000866
1730.000000	0.39127	0.001655
1740.000000	0.40799	0.001038
1750.000000	0.41897	0.002663
1760.000000	0.42637	0.003297
1770.000000	0.42515	0.003169
1780.000000	0.42472	0.000960
1790.000000	0.42893	0.001166
1800.000000	0.42691	0.002381
1810.000000	0.42741	0.002278
1820.000000	0.43095	0.001940
1830.000000	0.42588	0.002243
1840.000000	0.42717	0.001723
1850.000000	0.42490	0.001781
1860.000000	0.40457	0.001995
1870.000000	0.38747	0.003958
1880.000000	0.35142	0.003164
1890.000000	0.29447	0.001412
1900.000000	0.24928	0.001768
1910.000000	0.18963	0.002357
1920.000000	0.15258	0.003313
1930.000000	0.12260	0.001966
1940.000000	0.09584	0.001300
1950.000000	0.08177	0.002701
1960.000000	0.07127	0.001317
1970.000000	0.05840	0.003722
1980.000000	0.05645	0.001354
1990.000000	0.05587	0.002875
2000.000000	0.04739	0.001517
2010.000000	0.05128	0.004873
2020.000000	0.04928	0.000977
2030.000000	0.04815	0.001414
2040.000000	0.04738	0.002297
2050.000000	0.04689	0.001989
2060.000000	0.04905	0.002119
2070.000000	0.04707	0.001246
2080.000000	0.05989	0.000788
2090.000000	0.05855	0.001058
2100.000000	0.07252	0.001208
2110.000000	0.08059	0.001204
2120.000000	0.10102	0.002555
2130.000000	0.12759	0.001376
2140.000000	0.15553	0.004378
2150.000000	0.17835	0.002818
2160.000000	0.20660	0.002256
2170.000000	0.23792	0.002104
2180.000000	0.26067	0.003817
2190.000000	0.28074	0.003094
2200.000000	0.30643	0.002386
2210.000000	0.32799	0.001211
2220.000000	0.33664	0.003202
2230.000000	0.35519	0.004739
2240.000000	0.36095	0.003577
2250.000000	0.35705	0.003854
