wavelength(nm)	reflectance_factor	intensity_stdev
450.000000	0.99709	0.040673
500.000000	0.92137	0.018726
550.000000	0.92871	0.006181
600.000000	0.91628	0.007022
650.000000	0.91348	0.003830
700.000000	0.90611	0.000701
750.000000	0.90299	0.000287
800.000000	0.88950	0.000382
850.000000	0.88471	0.000250
900.000000	0.85807	0.000266
950.000000	0.85200	0.000274
1000.000000	0.78955	0.006974
1010.000000	0.78542	0.006298
1020.000000	0.75571	0.004070
1030.000000	0.73717	0.002551
1040.000000	0.73365	0.005968
1050.000000	0.72817	0.006053
1060.000000	0.73237	0.007154
1070.000000	0.75289	0.007929
1080.000000	0.78062	0.002950
1090.000000	0.77668	0.004932
1100.000000	0.77471	0.004550
1110.000000	0.77535	0.006860
1120.000000	0.76844	0.006387
1130.000000	0.76189	0.006701
1140.000000	0.76425	0.005023
1150.000000	0.75713	0.003723
1160.000000	0.74007	0.003948
1170.000000	0.72054	0.002511
1180.000000	0.69885	0.006198
1190.000000	0.66066	0.006850
1200.000000	0.63265	0.003962
1210.000000	0.60060	0.003842
1220.000000	0.58390	0.004326
1230.000000	0.56739	0.002594
1240.000000	0.55369	0.004368
1250.000000	0.53313	0.007378
1260.000000	0.51391	0.006505
1270.000000	0.51678	0.004078
1280.000000	0.51234	0.004293
1290.000000	0.51856	0.003244
1300.000000	0.51541	0.002365
1310.000000	0.51646	0.003731
1320.000000	0.53122	0.001992
1330.000000	0.55152	0.003587
1340.000000	0.56235	0.003024
1350.000000	0.56559	0.004707
1360.000000	0.57142	0.003995
1370.000000	0.56775	0.003960
1380.000000	0.55670	0.003624
1390.000000	0.54831	0.003646
1400.000000	0.53383	0.001711
1410.000000	0.51315	0.001394
1420.000000	0.47510	0.001315
1430.000000	0.42091	0.001471
1440.000000	0.35272	0.000991
1450.000000	0.27910	0.001524
1460.000000	0.21319	0.001205
1470.000000	0.15596	0.001086
1480.000000	0.11218	0.001292
1490.000000	0.09153	0.001268
1500.000000	0.08285	0.000996
1510.000000	0.08061	0.000959
1520.000000	0.08232	0.001118
1530.000000	0.08188	0.000781
1540.000000	0.08006	0.001744
1550.000000	0.08328	0.001223
1560.000000	0.08730	0.002956
1570.000000	0.09026	0.001559
1580.000000	0.09812	0.001012
1590.000000	0.11441	0.001493
1600.000000	0.13015	0.001406
1610.000000	0.13724	0.001488
1620.000000	0.14027	0.001103
1630.000000	0.13755	0.001494
1640.000000	0.13023	0.000794
1650.000000	0.12621	0.001313
1660.000000	0.13530	0.001864
1670.000000	0.16001	0.001008
1680.000000	0.17750	0.000736
1690.000000	0.19842	0.000680
1700.000000	0.21432	0.000778
1710.000000	0.23229	0.000839
1720.000000	0.24757	0.001227
1730.000000	0.26690	0.001385
1740.000000	0.27806	0.000438
1750.000000	0.29109	0.001347
1760.000000	0.30117	0.001046
1770.000000	0.30602	0.001468
1780.000000	0.31686	0.001609
1790.000000	0.31402	0.001709
1800.000000	0.31806	0.001193
1810.000000	0.32023	0.001868
1820.000000	0.32993	0.002316
1830.000000	0.33051	0.002695
1840.000000	0.32793	0.002010
1850.000000	0.33612	0.001851
1860.000000	0.31607	0.001099
1870.000000	0.29817	0.003843
1880.000000	0.26119	0.003641
1890.000000	0.22342	0.000871
1900.000000	0.17538	0.000755
1910.000000	0.13954	0.002828
1920.000000	0.11530	0.001117
1930.000000	0.08828	0.001844
1940.000000	0.07424	0.001959
1950.000000	0.06002	0.001686
1960.000000	0.05598	0.000991
1970.000000	0.05144	0.001077
1980.000000	0.04759	0.001255
1990.000000	0.04401	0.001304
2000.000000	0.03958	0.002390
2010.000000	0.05239	0.003911
2020.000000	0.04308	0.003478
2030.000000	0.04312	0.004113
2040.000000	0.03985	0.002976
2050.000000	0.04912	0.001854
2060.000000	0.04847	0.001394
2070.000000	0.05190	0.003056
2080.000000	0.05399	0.001141
2090.000000	0.05228	0.002682
2100.000000	0.05679	0.001985
2110.000000	0.07179	0.003311
2120.000000	0.08240	0.001765
2130.000000	0.10207	0.002463
2140.000000	0.11501	0.001881
2150.000000	0.13599	0.002749
2160.000000	0.15108	0.003354
2170.000000	0.16849	0.000981
2180.000000	0.18622	0.002009
2190.000000	0.19869	0.003091
2200.000000	0.22189	0.002585
2210.000000	0.24147	0.002067
2220.000000	0.25297	0.001801
2230.000000	0.25578	0.003124
2240.000000	0.26165	0.002115
2250.000000	0.26965	0.003149
2260.000000	0.25166	0.002510
2270.000000	0.24113	0.005587
2280.000000	0.22460	0.001712
2290.000000	0.20539	0.003243
2300.000000	0.18816	0.002277
2310.000000	0.16800	0.003798
2320.000000	0.14831	0.006934
2330.000000	0.13948	0.001694
2340.000000	0.13098	0.001993
2350.000000	0.12184	0.002187
2360.000000	0.11360	0.002767
2370.000000	0.10959	0.002347
2380.000000	0.10272	0.001713
2390.000000	0.09785	0.002230
2400.000000	0.09242	0.004209
2410.000000	0.09838	0.002070
2420.000000	0.09866	0.002875
2430.000000	0.10052	0.006411
2440.000000	0.09300	0.002844
2450.000000	0.08172	0.004913
2460.000000	0.08809	0.001510
2470.000000	0.09128	0.002319
2480.000000	0.08087	0.001823
2490.000000	0.08966	0.002350
2500.000000	0.08981	0.004032
2510.000000	0.07949	0.003179
2520.000000	0.08045	0.005371
2530.000000	0.07484	0.002522
2540.000000	0.06186	0.006001
2550.000000	0.08037	0.003925
2560.000000	0.07819	0.003769
2570.000000	0.06746	0.007691
2580.000000	0.08257	0.006618
2590.000000	0.09185	0.011037
2600.000000	0.09758	0.003872
2610.000000	0.10940	0.011396
2620.000000	0.08002	0.011934
2630.000000	0.07460	0.005228
2640.000000	0.07675	0.003591
2650.000000	0.07616	0.004797
2660.000000	0.07776	0.005615
2670.000000	0.04075	0.005729
2680.000000	0.06238	0.000738
2690.000000	0.04351	0.001482
2700.000000	0.05478	0.004202
2710.000000	0.05962	0.009186
2720.000000	0.04447	0.002451
2730.000000	0.03500	0.001698
2740.000000	0.04160	0.000118
2750.000000	0.01512	0.004752
2760.000000	0.02223	0.002828
2770.000000	0.01189	0.004100
2780.000000	0.03588	0.006918
2790.000000	0.02877	0.007416
2800.000000	0.02303	0.005210
2810.000000	0.02915	0.010866
2820.000000	0.03068	0.002862
2830.000000	0.02890	0.008301
2840.000000	0.01419	0.002089
2850.000000	0.02739	0.002839
2860.000000	0.01379	0.001706
2870.000000	0.01101	0.002737
2880.000000	0.00721	0.000491
2890.000000	0.01402	0.001637
2900.000000	0.02287	0.005192
2910.000000	0.01458	0.004217
2920.000000	0.01446	0.001236
2930.000000	0.01286	0.003182
2940.000000	0.01390	0.001832
2950.000000	0.01698	0.005343
2960.000000	0.02507	0.004348
2970.000000	0.02928	0.011987
2980.000000	0.02813	0.003468
2990.000000	0.02009	0.005108
3000.000000	0.01550	0.002360
3010.000000	0.02238	0.002317
3020.000000	0.03020	0.001276
3030.000000	0.02583	0.001706
3040.000000	0.02934	0.002118
3050.000000	0.03305	0.003277
3060.000000	0.03968	0.000778
3070.000000	0.04309	0.001559
3080.000000	0.04939	0.003106
3090.000000	0.06039	0.001133
3100.000000	0.05559	0.001614
3110.000000	0.05489	0.002109
3120.000000	0.04647	0.003270
3130.000000	0.05158	0.002075
3140.000000	0.05120	0.002226
3150.000000	0.04046	0.005642
3160.000000	0.04379	0.000740
3170.000000	0.03676	0.004519
3180.000000	0.04782	0.002677
3190.000000	0.04875	0.003497
3200.000000	0.04272	0.002557
3210.000000	0.04187	0.003838
3220.000000	0.04527	0.004073
3230.000000	0.03023	0.002152
3240.000000	0.02985	0.003925
3250.000000	0.03659	0.000949
3260.000000	0.02863	0.003054
3270.000000	0.03305	0.000828
3280.000000	0.02907	0.003202
3290.000000	0.02927	0.002383
3300.000000	0.02915	0.002931
3310.000000	0.02499	0.001725
3320.000000	0.03321	0.002529
3330.000000	0.02598	0.001692
3340.000000	0.02647	0.001777
3350.000000	0.01805	0.002446
3360.000000	0.03590	0.002662
3370.000000	0.02963	0.002165
3380.000000	0.02243	0.002503
3390.000000	0.02352	0.002927
3400.000000	0.02201	0.003397
3410.000000	0.02420	0.002244
3420.000000	0.02071	0.001696
3430.000000	0.03300	0.001921
3440.000000	0.03053	0.000794
3450.000000	0.02304	0.001421
3460.000000	0.03075	0.001070
3470.000000	0.02766	0.002288
3480.000000	0.02311	0.002359
3490.000000	0.02347	0.001072
3500.000000	0.02518	0.001812
3510.000000	0.02842	0.001505
3520.000000	0.02902	0.002665
3530.000000	0.02999	0.001903
3540.000000	0.03285	0.002655
3550.000000	0.03557	0.001385
3560.000000	0.03232	0.001347
3570.000000	0.04635	0.004761
3580.000000	0.03408	0.002918
3590.000000	0.02904	0.002468
3600.000000	0.04572	0.002868
3650.000000	0.03484	0.001687
3700.000000	0.04337	0.003581
3750.000000	0.02941	0.004049
3800.000000	0.02157	0.006193
3850.000000	0.02542	0.000951
3900.000000	0.02169	0.003940
3950.000000	0.03725	0.003682
4000.000000	0.01568	0.004169
4050.000000	0.02543	0.005232
4100.000000	0.01988	0.004690
4150.000000	0.02865	0.005422
4200.000000	0.01489	0.000152
